matricula  U.E.A. Trim Ev. Cal Plan
 209369801 2130034 10O REC. EQ  56
 209369801 2331064 10O GLO. EQ  56
 209369801 2331062 11I GLO. EQ  56
 209369801 2255066 12I GLO. EQ  56
 209369801 2331065 12I GLO. EQ  56
 209369801 2900056 12I GLO. EQ  56
 209369801 2112013 12P GLO. EQ  56
 209369801 2132075 12P REC. EQ  56
 209369801 2255065 12P GLO. EQ  56
 209369801 2331066 12P GLO. EQ  56
 209369801 2332081 12P GLO. EQ  56
 209369801 2900057 12P GLO. EQ  56
 209369801 2141025 12O GLO. EQ  56
 209369801 2141026 13I GLO. B   56 BD01
 209369801 2132060 13P GLO. NA  56 BC01
 209369801 2132060 13P REC. NA  56 J32060
 209369801 2132061 13P GLO. NA  56 BD03
 209369801 2132061 13P REC. NA  56 J32061
 209369801 2331063 13P GLO. S   56 BC07
 209369801 2332060 13P GLO. NA  56 BG08
 209369801 2132060 13O GLO. NA  56 BC03
 209369801 2331067 13O GLO. NA  56 BF57
 209369801 2331067 13O REC. NA  56 J31067
 209369801 2332060 13O GLO. NA  56 BG08
 209369801 2132061 14I GLO. NA  56 BD03
 209369801 2331061 14I GLO. NA  56 BB58A
 209369801 2331073 14I GLO. NA  56 BI08
 209369801 2122081 14O GLO. S   56 BC04
 209369801 2132060 14O REC. NA  56 J32060
 209369801 2132064 14O GLO. NA  56 BG01
 209369801 2331061 14O GLO. NA  56 BB57
 209369801 2331067 14O GLO. B   56 BF07
 209369801 2331073 14O GLO. S   56 BI08
 209369801 2132064 15I GLO. B   56 BG02
